epoch,loss,train_accuracy
1,1.3312122696324398,0.36
2,1.2951273792668392,0.39416666666666667
3,1.210427911658036,0.5483333333333333
4,1.1439237735773389,0.55
5,1.0811565298783152,0.5841666666666666
6,1.032691577547475,0.6025
7,0.9765728382687819,0.6333333333333333
8,0.9376821251291978,0.635
9,0.9372400955150002,0.6283333333333333
10,0.8918740184683549,0.6525
11,0.8700422048568726,0.6641666666666667
12,0.8624550104141235,0.6716666666666666
13,0.8410524976880926,0.6841666666666667
14,0.8527181823002664,0.6608333333333334
15,0.8373374405660128,0.6808333333333333
16,0.8144526528684717,0.675
17,0.8037058962018866,0.6958333333333333
18,0.805941674270128,0.6816666666666666
19,0.7973233351581975,0.6916666666666667
20,0.7747791205581865,0.7058333333333333
